user_imp_gastronomia,user_imp_vida_nocturna,user_imp_cultura,user_imp_arte_visual,user_imp_naturaleza,user_imp_deporte_agua,user_imp_deporte_montana,user_imp_deporte_urbano,user_imp_bienestar,user_imp_familia,user_imp_mascotas,user_imp_nomada,user_imp_alojamiento,user_imp_movilidad,user_imp_compras,user_imp_servicios,user_imp_salud,user_imp_turismo,user_imp_educacion,user_imp_comunidad,user_imp_coste,user_imp_clima,user_imp_calidad_vida,user_imp_social_media,user_imp_musica,user_imp_autenticidad,query_id,archetype
0.07996217901947555,0.55,0.55,0.1915111651456148,0.026966843811866124,0.55,0.018585613137314334,0.55,0.01,0.13574863293275585,0.55,0.3563726312497095,0.41079973692428595,0.55,0.39808483836481057,0.07340136605644883,0.55,0.55,0.55,0.3693644169302972,0.10126556198263924,0.010139241998788602,0.08526738376605483,0.06504473137904776,0.55,0.01,0,mixto
0.2260200886226827,0.55,0.55,0.55,0.55,0.06566364710468127,0.55,0.55,0.55,0.55,0.29398134983413104,0.55,0.55,0.08624728991002414,0.01,0.29135390552111534,0.35389182249239415,0.49646115395449497,0.55,0.2068961918341364,0.55,0.55,0.55,0.01696841411634788,0.13728871461566738,0.01069471862846213,1,mixto
0.51048809317848,0.19485165445949035,0.1931029414092042,0.01627005029389102,0.7846544710920249,0.10079930457249624,0.17158082636488878,0.013626890513146825,0.01,0.01,0.01,0.2055980664354243,0.06880970004931322,0.8584416274287738,0.021081085281889417,0.018528313237762745,0.07399713719429517,0.5121085143119929,0.1067188313768332,0.2024503010038031,0.8915665352350731,0.04297257836001748,0.013568226399060006,0.09536492830995824,0.036124143006777354,0.8657758446211749,2,mochilero_barato
0.5266414628286645,0.24828349725062726,0.031482441830486804,0.01,0.14674440731331234,0.1296267917310631,0.033118211236109814,0.14645902794044183,0.03555615715362803,0.09773772951893284,0.03123106548623212,0.8219470936601909,0.20903639056825893,0.28554969313979267,0.07223375254039024,0.10934118079472255,0.07353965005954559,0.058735077589450846,0.05243677696714026,0.48770967749260236,0.8114010837000475,0.07808722440990673,0.9699610739902611,0.0721357272753261,0.12496439200432144,0.281738887272695,3,nomada_barato
0.7862016321055648,0.4941769865376873,0.031981879839730276,0.07028975506871431,0.06124823817164149,0.05413788924213646,0.02500182036606243,0.04543442456730116,0.031022698373841955,0.02477945210125128,0.08178930086852722,0.017804422619870145,0.02541581141529135,0.30110988420401613,0.030597187689660396,0.19535624635811696,0.01,0.8700157521567048,0.0934774010056385,0.022393070214557623,0.07798039400685089,0.06501316123705626,0.6297643739938688,0.21063110513354644,0.4288386597350988,0.6529894739254072,4,gastronomia_vino
0.55,0.4272357045417434,0.4166307993853286,0.14744520439392778,0.06591390548171887,0.01,0.55,0.42774762913065645,0.28230181234990276,0.55,0.020418533967012924,0.38024068622220475,0.55,0.08231964776535669,0.2790309611626932,0.14021011889333504,0.28128209545033916,0.4405295151148401,0.22531677832525274,0.5267507090145634,0.55,0.55,0.18584715271443722,0.36972771869911175,0.55,0.017620238967637265,5,mixto
0.9246229604590952,0.7378016150613751,0.21550539446238387,0.8439820546069641,0.01,0.5362829918024681,0.029908347919101356,0.2223212417401993,0.07287567891460035,0.07262642941792531,0.02191955451332178,0.14435389682010885,0.12542610635883683,0.6425645114516078,0.08432785142780082,0.34459813671748196,0.24561676706625996,0.6808821592251584,0.07887568011548801,0.036943730349783155,0.11481818051183329,0.08549634329359844,0.15792964638905438,0.8741960620190058,0.09044648009890585,0.3256091387562646,6,influencer
0.1765746993671194,0.03523026352324649,0.01,0.05558327998589139,0.9203063797889304,0.1306494907061366,0.2019129408451072,0.07248123244241376,0.6885735417766663,0.0150171437793124,0.8939702113616693,0.09038807325255344,0.07522464175308784,0.4227023994893808,0.08907602870760853,0.22093523945164253,0.016775005801308928,0.02231929442764371,0.1120514646041906,0.09626645404337776,0.03878508394342129,0.17303759780098507,0.9278500835087803,0.13899420898333636,0.06081593878057889,0.4074992512937251,7,mascotas_naturaleza
0.18531180040387168,0.26823981627379806,0.9195858012421618,0.876070746000357,0.12086091602125124,0.02374342704619573,0.01290267277616685,0.07558342296719676,0.016063764525151118,0.17409625488891575,0.02945276171555779,0.08025959677006465,0.10910787090064697,0.46412811839871093,0.41914668606255706,0.11075508577795454,0.11590088328423695,0.7206860027698793,0.036764500002594354,0.031444405919477954,0.05366202809835541,0.061657123505119295,0.4680853232289112,0.06791108113027555,0.32076424581249074,0.5312845268717945,8,cultura_arte
0.3083467267799874,0.4286172980897324,0.31840847826175483,0.012168104590555296,0.55,0.015261848037714638,0.55,0.4294941285275195,0.55,0.55,0.01,0.5049246464035413,0.4336342446151065,0.21258152622918908,0.55,0.5456467314416968,0.55,0.55,0.55,0.14889360120999245,0.01,0.55,0.48383667966135535,0.55,0.55,0.22737660512428237,9,mixto
0.55,0.55,0.4834884999950467,0.5475571901802069,0.55,0.08375132339278335,0.55,0.43096893759179716,0.0492299764681626,0.01,0.55,0.09537875006982759,0.043562506526488735,0.55,0.55,0.0468644143926292,0.55,0.01,0.03345701325452187,0.05161343961912762,0.55,0.11049887207692571,0.55,0.55,0.55,0.55,10,mixto
